ts_score,source,url_hash,accommodation_id,ville_label,code_postal,code_dept,in_scope_encadrement,surface_m2,loyer_eur_total,eur_per_m2,dpe_letter,ges_letter,meuble,commune_slug,plafond_applied_eur_m2,encadrement_violation,encadrement_excess_eur_m2,encadrement_excess_pct,dpe_violation,violation_type,violation_score,score_version
2026-06-18T05:52:35+00:00,locservice,fceb86b85e818bf2,100824,Paris 17 (75017),75017,75,true,21,900,42.86,F,C,true,paris,40.0,presumed,2.86,7.1,future_F_2028,encadrement,1,0.2.0
2026-06-18T05:52:35+00:00,locservice,3f23d8e84a712673,101836,Rezé (44400),44400,44,false,28,400,14.29,C,C,true,,,none,,,none,none,0,0.2.0
2026-06-18T05:52:35+00:00,locservice,cb2a96d9e89b4678,105361,Lille (59000),59000,59,true,33,750,22.73,D,D,true,lille,23.4,none,0.0,0.0,none,none,0,0.2.0
2026-06-18T05:52:35+00:00,locservice,8ba4215e4759b68f,106301,Toulouse (31000),31000,31,false,15,420,28.0,C,A,true,,,none,,,none,none,0,0.2.0
2026-06-18T05:52:35+00:00,locservice,4932fd4eba71a98e,106807,Lyon 03 (69003),69003,69,true,25,695,27.8,C,A,false,lyon,20.2,clear,7.6,37.6,none,encadrement,2,0.2.0
2026-06-18T05:52:35+00:00,locservice,5574b35f2be2f533,107079,Frouzins (31270),31270,31,false,160,1650,10.31,C,C,false,,,none,,,none,none,0,0.2.0
2026-06-18T05:52:35+00:00,locservice,9c4785c327b491b3,111351,Toulouse (31000),31000,31,false,25,620,24.8,B,C,true,,,none,,,none,none,0,0.2.0
2026-06-18T05:52:35+00:00,locservice,7bec3a9cd15b0ac6,114725,Toulouse (31000),31000,31,false,22,600,27.27,C,C,true,,,none,,,none,none,0,0.2.0
2026-06-18T05:52:35+00:00,locservice,66fc37ff8804d425,124159,Ramonville-Saint-Agne (31520),31520,31,false,22,530,24.09,E,C,true,,,none,,,future_E_2034,none,0,0.2.0
2026-06-18T05:52:35+00:00,locservice,1af9a416c214a341,125051,Lille (59000),59000,59,true,25,730,29.2,D,C,true,lille,23.4,clear,5.8,24.8,none,encadrement,2,0.2.0
2026-06-18T05:52:35+00:00,locservice,d112b67b16c1afa4,128602,Toulouse (31000),31000,31,false,21,545,25.95,D,B,true,,,none,,,none,none,0,0.2.0
