ts_score,source,url_hash,accommodation_id,ville_label,code_postal,code_dept,in_scope_encadrement,surface_m2,loyer_eur_total,eur_per_m2,dpe_letter,ges_letter,meuble,commune_slug,plafond_applied_eur_m2,encadrement_violation,encadrement_excess_eur_m2,encadrement_excess_pct,dpe_violation,violation_type,violation_score,score_version
2026-06-27T05:52:45+00:00,locservice,5a717ffa9ffa950a,100148,Paris 15 (75015),75015,75,true,61,2350,38.52,C,D,true,paris,40.0,none,0.0,0.0,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,46fa90da38609015,100239,Lille (59000),59000,59,true,20,570,28.5,D,D,true,lille,23.4,clear,5.1,21.8,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,d1cfb5dac34af41d,100361,Nantes (44000),44000,44,false,19,475,25.0,E,B,false,,,none,,,future_E_2034,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,dade7be4af2ace0c,100546,Marseille 05 (13005),13005,13,false,21,460,21.9,D,A,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,25afb71404ea4cd2,100617,Toulouse (31000),31000,31,false,25,580,23.2,B,C,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,b1a0ca5b12fb4298,100621,Nantes (44000),44000,44,false,10,345,34.5,D,B,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,17d04de898b7b6c2,100682,Caluire-et-Cuire (69300),69300,69,false,70,1000,14.29,D,D,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,fceb86b85e818bf2,100824,Paris 17 (75017),75017,75,true,21,900,42.86,F,C,true,paris,40.0,presumed,2.86,7.1,future_F_2028,encadrement,1,0.2.0
2026-06-27T05:52:45+00:00,locservice,b5c7b5de7c706228,101102,Nantes (44000),44000,44,false,50,940,18.8,D,D,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,04658e88e182d6d6,101170,Nantes (44000),44000,44,false,27,505,18.7,C,C,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,0996c8246d4e3678,101302,Lille (59000),59000,59,true,20,490,24.5,E,D,true,lille,23.4,presumed,1.1,4.7,future_E_2034,encadrement,1,0.2.0
2026-06-27T05:52:45+00:00,locservice,ea088f778007862e,101767,Paris 15 (75015),75015,75,true,11,480,43.64,D,C,true,paris,40.0,presumed,3.64,9.1,none,encadrement,1,0.2.0
2026-06-27T05:52:45+00:00,locservice,6f0d415c7e683766,101826,Villeneuve-Tolosane (31270),31270,31,false,26,570,21.92,A,A,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,3f23d8e84a712673,101836,Rezé (44400),44400,44,false,28,400,14.29,C,C,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,eace2e81d8dd0d95,102070,Paris 14 (75014),75014,75,true,42,1500,35.71,F,D,true,paris,40.0,none,0.0,0.0,future_F_2028,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,887b1b8fcb3bc793,102210,Lyon 07 (69007),69007,69,true,18,590,32.78,C,A,true,lyon,20.2,clear,12.58,62.3,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,1cd8aa4b711c0fe0,102825,Salon-de-Provence (13300),13300,13,false,72,1100,15.28,C,B,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,fbba6a7ace2280f2,102955,Toulouse (31000),31000,31,false,22,440,20.0,C,C,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,a1554525b72342dd,103026,Lyon 03 (69003),69003,69,true,20,535,26.75,D,C,true,lyon,20.2,clear,6.55,32.4,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,b247de884329353a,103290,Châteaurenard (13160),13160,13,false,77,952,12.36,C,A,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,11e41dea305bb92b,103752,Toulouse (31000),31000,31,false,20,480,24.0,D,C,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,97df961d3841221c,103895,Saint-Orens-de-Gameville (31650),31650,31,false,39,650,16.67,C,B,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,a30cf28a098895e8,104126,Paris 15 (75015),75015,75,true,30,1000,33.33,E,B,true,paris,40.0,none,0.0,0.0,future_E_2034,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,4a8e95060bfcc85c,104390,Paris 19 (75019),75019,75,true,66,1950,29.55,C,C,false,paris,40.0,none,0.0,0.0,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,4be16dfcf6f29e79,104690,Velaux (13880),13880,13,false,41,800,19.51,C,A,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,c58a8e164e57f41b,105108,Nantes (44000),44000,44,false,28,525,18.75,C,C,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,cb2a96d9e89b4678,105361,Lille (59000),59000,59,true,33,750,22.73,D,D,true,lille,23.4,none,0.0,0.0,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,bc7208990b170ccc,105377,Collonges-au-Mont-d&#039;Or (69660),69660,69,false,45,830,18.44,B,B,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,944e9e5e3c7cf1e5,105378,Lyon 09 (69009),69009,69,true,45,730,16.22,A,A,false,lyon,20.2,none,0.0,0.0,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,4211308c88d409a8,105947,Écully (69130),69130,69,false,17,635,37.35,C,E,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,ce10e8a0c438b712,105950,Nantes (44000),44000,44,false,35,795,22.71,C,A,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,ae4b73cae11ad9d8,106121,Lyon 03 (69003),69003,69,true,31,630,20.32,C,C,true,lyon,20.2,presumed,0.12,0.6,none,encadrement,1,0.2.0
2026-06-27T05:52:45+00:00,locservice,c6fc3ab0f954ff81,106260,Toulouse (31000),31000,31,false,20,600,30.0,E,E,true,,,none,,,future_E_2034,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,8ba4215e4759b68f,106301,Toulouse (31000),31000,31,false,15,420,28.0,C,A,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,8a45933e16c1e9a6,106619,Paris 16 (75016),75016,75,true,20,950,47.5,D,D,true,paris,40.0,clear,7.5,18.8,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,a77c5d4feaa672b7,106687,Villeurbanne (69100),69100,69,true,30,620,20.67,C,C,false,villeurbanne,19.8,presumed,0.87,4.4,none,encadrement,1,0.2.0
2026-06-27T05:52:45+00:00,locservice,4932fd4eba71a98e,106807,Lyon 03 (69003),69003,69,true,25,695,27.8,C,A,false,lyon,20.2,clear,7.6,37.6,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,68ea9d16b43009bc,106985,Paris 17 (75017),75017,75,true,32,1150,35.94,D,D,false,paris,40.0,none,0.0,0.0,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,5574b35f2be2f533,107079,Frouzins (31270),31270,31,false,160,1750,10.94,C,C,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,c68873890025c016,107237,Pessac (33600),33600,33,false,22,535,24.32,E,C,false,,,none,,,future_E_2034,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,fb0ee497c4534000,109095,Toulouse (31000),31000,31,false,30,640,21.33,D,A,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,68f7ece0b1b2f4d1,109231,Toulouse (31000),31000,31,false,20,600,30.0,C,A,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,7f8fb91a30a8285f,110489,Nantes (44000),44000,44,false,70,1295,18.5,B,B,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,0d5935ece5d24dbe,110841,Lille (59000),59000,59,true,18,500,27.78,C,A,false,lille,23.4,clear,4.38,18.7,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,322ae5547468c3ac,110958,Nantes (44000),44000,44,false,25,460,18.4,D,B,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,31e4c563285b5aef,111072,Roubaix (59100),59100,59,false,44,657,14.93,C,D,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,eb3d217314116d4f,111116,Paris 19 (75019),75019,75,true,15,690,46.0,E,F,true,paris,40.0,clear,6.0,15.0,future_E_2034,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,9c4785c327b491b3,111351,Toulouse (31000),31000,31,false,25,620,24.8,B,C,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,86ba200e36d3824a,112205,Aix-en-Provence (13080),13080,13,false,70,1058,15.11,C,D,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,a51c4eb3fa41133b,112473,Aix-en-Provence (13080),13080,13,false,16,505,31.56,B,A,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,7bec3a9cd15b0ac6,114725,Toulouse (31000),31000,31,false,22,600,27.27,C,C,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,ebf33d0701da04f8,114766,Pessac (33600),33600,33,false,25,650,26.0,C,C,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,17a02677e7570c32,115219,Toulouse (31000),31000,31,false,33,600,18.18,B,C,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,cd67379daf2479e4,115509,Paris 14 (75014),75014,75,true,40,1305,32.62,E,C,false,paris,40.0,none,0.0,0.0,future_E_2034,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,e73b0cc8f80cb854,115696,Nantes (44000),44000,44,false,20,450,22.5,C,C,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,2b4b12da4b46d908,1165060,Paris 01 (75001),75001,75,true,13,850,65.38,C,D,true,paris,40.0,clear,25.38,63.4,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,f43d4a2e82160075,117334,Nantes (44000),44000,44,false,14,345,24.64,B,B,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,aa34662e2283980d,118441,Villeurbanne (69100),69100,69,true,28,700,25.0,E,B,true,villeurbanne,19.8,clear,5.2,26.3,future_E_2034,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,512089adbdc0429a,120486,Paris 17 (75017),75017,75,true,30,1254,41.8,E,B,true,paris,40.0,presumed,1.8,4.5,future_E_2034,encadrement,1,0.2.0
2026-06-27T05:52:45+00:00,locservice,6c92b132df31a53c,123574,Lyon 02 (69002),69002,69,true,59,1160,19.66,D,F,true,lyon,20.2,none,0.0,0.0,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,829e761def0b2716,123910,Toulouse (31000),31000,31,false,63,870,13.81,B,C,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,66fc37ff8804d425,124159,Ramonville-Saint-Agne (31520),31520,31,false,22,530,24.09,E,C,true,,,none,,,future_E_2034,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,73988ca1fd70372d,125039,Lille (59000),59000,59,true,20,630,31.5,D,D,true,lille,23.4,clear,8.1,34.6,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,1af9a416c214a341,125051,Lille (59000),59000,59,true,25,730,29.2,D,C,true,lille,23.4,clear,5.8,24.8,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,67926690c7b1cc5b,125421,Le Bouscat (33110),33110,33,false,48,818,17.04,D,B,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,27023fc6c1a4a81f,125807,Paris 09 (75009),75009,75,true,31,1365,44.03,C,C,true,paris,40.0,clear,4.03,10.1,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,5b774f52d35923a7,126544,Cassis (13260),13260,13,false,35,1050,30.0,D,B,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,d112b67b16c1afa4,128602,Toulouse (31000),31000,31,false,21,545,25.95,D,B,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,6af74fcfcc5557ad,128787,Lyon 08 (69008),69008,69,true,18,513,28.5,C,A,false,lyon,20.2,clear,8.3,41.1,none,encadrement,2,0.2.0
2026-06-27T05:52:45+00:00,locservice,8267bcb54eda7acb,128936,Toulouse (31000),31000,31,false,18,470,26.11,B,D,true,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,21acb7f8e23127d4,129163,Nantes (44000),44000,44,false,24,525,21.88,C,A,false,,,none,,,none,none,0,0.2.0
2026-06-27T05:52:45+00:00,locservice,92f94b2c9050dbd7,129525,Toulouse (31000),31000,31,false,24,600,25.0,E,B,true,,,none,,,future_E_2034,none,0,0.2.0
